Report ID,Category of Incident,Country of Incident,Date of Incident,Subject,Airport,Full Scientific Name,Common Name,Item / Commodity Type,Count,Quantity - Weight,Unit of Weight,Estimated Value,Currency,Value in USD
MOR25970,1. Seizure,Indonesia,10/17/2019 0:00,108 birds meant to be sent to China seized at Kualanamu Airport - 3 people arrested,Kualanamu Airport,Copsychus malabaricus,White-rumped Shama,Individual - Live,1,,,,,
MOR25970,1. Seizure,Indonesia,10/17/2019 0:00,108 birds meant to be sent to China seized at Kualanamu Airport - 3 people arrested,Kualanamu Airport,Chloropsis sonnerati,Greater Green Leafbird,Individual - Live,7,,,,,
MOR25970,1. Seizure,Indonesia,10/17/2019 0:00,108 birds meant to be sent to China seized at Kualanamu Airport - 3 people arrested,Kualanamu Airport,Chloropsis sonnerati,Greater Green Leafbird,Individual - Dead,1,,,,,
MOR25970,1. Seizure,Indonesia,10/17/2019 0:00,108 birds meant to be sent to China seized at Kualanamu Airport - 3 people arrested,Kualanamu Airport,Copsychus saularis,Oriental Magpie-Robin,Individual - Live,11,,,,,
MOR25970,1. Seizure,Indonesia,10/17/2019 0:00,108 birds meant to be sent to China seized at Kualanamu Airport - 3 people arrested,Kualanamu Airport,Copsychus saularis,Oriental Magpie-Robin,Individual - Dead,6,,,,,
MOR25970,1. Seizure,Indonesia,10/17/2019 0:00,108 birds meant to be sent to China seized at Kualanamu Airport - 3 people arrested,Kualanamu Airport,Saxicola caprata,Pied Bush Chat,Individual - Live,3,,,,,
MOR27413,1. Seizure,China,10/9/2019 0:00,1 ivory carving (0.0303kg) seized at Lanzhou Zhongchuan Airport,Lanzhou Zhongchuan Airport,Elephantidae,Elephants,Ivory - Worked,1,0.030300001,Kilograms,,,
MOR27416,1. Seizure,India,10/3/2019 0:00,"211 sea cucumbers seized at Tiruchy International Airport, one suspect",Tiruchy International Airport,Holothuroidea,Sea Cucumber,Individual - Dead,211,,,,,
MOR27420,1. Seizure,China,10/18/2019 0:00,"32 animal products including skins and horns seized at Chengdu Shuangliu Airport, three Chinese suspects",Chengdu Shuangliu Airport,Elephantidae,Elephants,Ivory - Worked,1,,,,,
MOR27420,1. Seizure,China,10/18/2019 0:00,"32 animal products including skins and horns seized at Chengdu Shuangliu Airport, three Chinese suspects",Chengdu Shuangliu Airport,Antidorcas marsupialis,Springbok,Skin,4,,,,,
MOR27422,1. Seizure,China,10/18/2019 0:00,"One ivory bracelet weighing 0.034kg seized at Chengdu Shuangliu Airport, one suspect",Chengdu Shuangliu Airport,Elephantidae,Elephants,Ivory - Worked,1,0.034000002,Kilograms,,,
MOR28857,1. Seizure,Indonesia,6/4/2020 0:00,153 reptiles seized at Soekarno-Hatta Airport - 2 people arrested,Soekarno Hatta Airport,Hydrosaurus pustulatus,Philippine Sailfin Lizard,Individual - Live,85,,,,,
MOR28857,1. Seizure,Indonesia,6/4/2020 0:00,153 reptiles seized at Soekarno-Hatta Airport - 2 people arrested,Soekarno Hatta Airport,Morelia amethistina,"Amethystine (Rock) Python, Scrub Python, Pitón ametista, Python améthiste, Python de la brousse, Python des rochers",Individual - Live,3,,,,,
MOR28857,1. Seizure,Indonesia,6/4/2020 0:00,153 reptiles seized at Soekarno-Hatta Airport - 2 people arrested,Soekarno Hatta Airport,Candoia carinata,"Bevel-nosed Boa, New Guinea Bevel-nosed Boa, Solomon Ground Boa, Tree Boa, Boa del Pacífico, Boa nain à carènes, Boa nain des Salomon",Individual - Live,20,,,,,
MOR28987,1. Seizure,Mexico,4/1/2020 0:00,Crocodile skins seized at San Luis Potosí International Airport,San Luis Potosí International Airport,Crocodylus moreletii,"Belize Crocodile, Morelet's Crocodile, Caimán de Morelet, Cocodrilo de Morelet, Crocodile de Morelet",Skin,,42.41999817,Kilograms,,,
MOR28991,1. Seizure,Mexico,4/1/2020 0:00,African lion cub seized at Oaxaca International Airport,Oaxaca International Airport,Panthera leo,"Lion, León, Lion d'Afrique",Individual - Live,1,,,,,
MOR28999,1. Seizure,Mexico,4/16/2020 0:00,One Californian king snake seized at Ciudad Juárez Airport,Ciudad Juárez Airport,Lampropeltis californiae,"Black Desert Kingsnake, California Kingsnake",Individual - Live,1,,,,,
MOR29000,1. Seizure,Mexico,4/17/2020 0:00,16 bird claws and complete foot seized at Ciudad Juárez International Airport,Ciudad Juárez International Airport,Buteo jamaicensis,"Red-tailed Hawk, Aguililla colirroja, Busardo colirrojo, Guaraguao, Buse à queue rousse",Body parts NES,16,,,,,
MOR29000,1. Seizure,Mexico,4/17/2020 0:00,16 bird claws and complete foot seized at Ciudad Juárez International Airport,Ciudad Juárez International Airport,Buteo jamaicensis,"Red-tailed Hawk, Aguililla colirroja, Busardo colirrojo, Guaraguao, Buse à queue rousse",Body parts NES,1,,,,,
MOR29111,1. Seizure,India,6/21/2020 0:00,"22 exotic birds seized in the consignment in the airport's cargo area, Kolkata Airport","the airport's cargo area, Kolkata Airport",Anodorhynchus hyacinthinus,"Hyacinth Macaw, Guacamayo azul, Guacamayo jacinto, Ara bleu, Ara hyacinthe, Ara jacinthe",Individual - Live,22,,,,,
MOR29111,1. Seizure,India,6/21/2020 0:00,"22 exotic birds seized in the consignment in the airport's cargo area, Kolkata Airport","the airport's cargo area, Kolkata Airport",Psittrichas fulgidus,"Pesquet's Parrot, Vulturine Parrot, Loro aguileño, Psittrichas de Pesquet",Individual - Live,22,,,,,
MOR29111,1. Seizure,India,6/21/2020 0:00,"22 exotic birds seized in the consignment in the airport's cargo area, Kolkata Airport","the airport's cargo area, Kolkata Airport",Ara severus,"Chestnut-fronted Macaw, Severe Macaw, Guacamayo severo, Ara sévère, Ara vert",Individual - Live,22,,,,,
MOR29111,1. Seizure,India,6/21/2020 0:00,"22 exotic birds seized in the consignment in the airport's cargo area, Kolkata Airport","the airport's cargo area, Kolkata Airport",Diopsittaca nobilis,"Hahn's Macaw, Noble Macaw, Red-shouldered Macaw, Guacamayo enano, Guacamayo noble, Ara noble, Petit perruche-ara",Individual - Live,22,,,,,
MOR29220,1. Seizure,United States of America,7/1/2020 0:00,"One canine skull, one sheep skull, various other bones, unknown mammal skins seized at the George Bush Intercontinental Airport",the George Bush Intercontinental Airport,Ovis aries,"Domestic Sheep, Mouflon, Red Sheep, Shapo, Shapu, Urial",Skull,1,,,,,
MOR29331,1. Seizure,South Africa,7/14/2020 0:00,41 pieces of rhino horns and abalone seized at O.R Tambo International Airport warehouse,OR Tambo International Airport,Rhinocerotidae,"Rhinoceroses, Rinocerontes, Rhinocéros",Horn Pieces - Raw,41,,,115000000,ZAR South African Rand,6863250
MOR29331,1. Seizure,South Africa,7/14/2020 0:00,41 pieces of rhino horns and abalone seized at O.R Tambo International Airport warehouse,OR Tambo International Airport,Haliotis,Abalone,Individual - Dead,,,,1000000,ZAR South African Rand,59680.5
MOR29358,1. Seizure,South Africa,7/13/2020 0:00,47kg of Rhino horns seized at O.R Tambo International Airport cargo,OR Tambo International Airport,Rhinocerotidae,"Rhinoceroses, Rinocerontes, Rhinocéros",Horn,,47,Kilograms,3000000,ZAR South African Rand,179158
MOR29868,1. Seizure,Indonesia,8/16/2020 0:00,200 oriental magpie robins seized at Adi Sumarmo Airport - one person arrested,Adi Sumarmo Airport,Copsychus saularis,Oriental Magpie-Robin,Individual - Live,200,,,,,
MOR30270,1. Seizure,Mexico,5/1/2020 0:00,Leopard gecko and ball python seized at Ponciano Arriaga International Airport,Ponciano Arriaga International Airport,Python regius,"Ball Python, Royal Python, Pitón real, Python royal",Individual - Live,1,,,,,
MOR30270,1. Seizure,Mexico,5/1/2020 0:00,Leopard gecko and ball python seized at Ponciano Arriaga International Airport,Ponciano Arriaga International Airport,Eublepharis macularius,Common Leopard Gecko,Individual - Live,1,,,,,
MOR30271,1. Seizure,Mexico,5/15/2020 0:00,34 crocodile skin pieces seized at Ponciano Arriaga International Airport,Ponciano Arriaga International Airport,Crocodylia,"Alligators, Caimans, Crocodiles, Aligatores, Caimanes, Cocodrilos, Crocodiles, Alligators, Caïmans",Skin - Pieces,34,,,,,
MOR30272,1. Seizure,Mexico,5/15/2020 0:00,4 abronia lizards seized at Ponciano Arriaga International Airport,Ponciano Arriaga International Airport,Abronia,Arboreal Alligator Lizard,Individual - Live,4,,,,,
MOR30273,1. Seizure,Mexico,5/6/2020 0:00,10 Leopard geckos seized at San Luis Potosí International Airport,San Luis Potosí International Airport,Eublepharis macularius,Common Leopard Gecko,Individual - Live,10,,,,,
MOR30276,1. Seizure,China,5/11/2020 0:00,Ivory scroll heads seized at Guangzhou Baiyun Airport,Guangzhou Baiyun Airport,Elephantidae,Elephants,Ivory - Worked,2,0.050000001,Kilograms,,,
MOR30277,1. Seizure,Mexico,5/12/2020 0:00,"15,053 turtles seized at Mexico City Airport",Mexico City Airport,Staurotypus triporcatus,Mexican Giant Musk Turtle,Individual - Live,14793,,,,,
MOR30277,1. Seizure,Mexico,5/12/2020 0:00,"15,053 turtles seized at Mexico City Airport",Mexico City Airport,Claudius angustatus,Narrow-bridged Musk Turtle,Individual - Live,14793,,,,,
